title;artist;top genre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity
Turn Down for What;DJ Snake;edm;2013;100;80;82;-4;6;8;214;0;16;72
We Own It (Fast & Furious);2 Chainz;atl hip hop;2013;172;90;56;-5;5;56;228;5;40;72
Youth of the Nation;P.O.D.;alternative metal;2001;98;86;56;-8;39;52;256;1;6;72
7/11;Beyoncé;pop;2014;136;71;75;-5;13;56;214;1;13;71
A Milli;Lil Wayne;hip hop;2008;151;70;67;-9;19;77;222;4;28;71
After School;Weeekly;k-pop;2021;164;93;63;-2;6;74;205;1;5;71
Again;Lenny Kravitz;permanent wave;2000;79;80;55;-5;11;79;232;1;3;71
Alaska;Maggie Rogers;indie pop;2019;104;39;85;-11;11;18;188;41;5;71
Axel F;Crazy Frog;techno;2005;138;91;86;-3;6;79;169;28;4;71
Bailando - Spanish Version;Enrique Iglesias;dance pop;2014;91;79;72;-4;4;96;243;5;11;71
Beautiful;Christina Aguilera;dance pop;2002;76;57;46;-4;11;10;239;58;3;71
Beneath Your Beautiful (feat. Emeli Sandé);Labrinth;indie poptimism;2012;84;52;56;-6;10;24;272;23;3;71
Best Thing I Never Had;Beyoncé;pop;2011;99;65;55;-4;9;30;254;14;3;71
Better;Khalid;pop;2018;98;59;44;-10;14;12;229;10;10;71
Boom Boom Pow;Black Eyed Peas;dance pop;2009;130;86;87;-6;13;40;251;13;7;71
Bounce Back;Big Sean;detroit hip hop;2017;82;57;78;-6;13;27;222;11;14;71
Breathless;The Corrs;celtic rock;2000;127;82;61;-8;27;77;208;5;6;71
Broken Strings;James Morrison;neo mellow;2008;112;72;57;-5;8;32;250;1;3;71
Buttons;The Pussycat Dolls;dance pop;2005;211;82;56;-4;25;48;226;15;27;71
Candy;Robbie Williams;dance rock;2012;116;79;72;-7;7;88;201;4;4;71
Can't Fight The Moonlight;LeAnn Rimes;contemporary country;2001;98;83;63;-6;5;63;216;40;5;71
Clout (feat. Cardi B);Offset;atl hip hop;2019;140;62;92;-7;12;42;206;23;10;71
Corazón (feat. Nego do Borel);Maluma;latin pop;2018;198;74;72;-6;20;75;185;33;25;71
Country Grammar (Hot Shit);Nelly;dance pop;2000;163;66;87;-7;14;56;287;1;11;71
Dakota;Stereophonics;britpop;2005;147;93;51;-3;9;31;297;13;7;71
Daylight;Maroon 5;pop;2012;120;67;66;-5;26;37;225;0;3;71
Deuces (feat. Tyga & Kevin McCall);Chris Brown;r&b;2011;74;74;69;-5;8;22;277;3;11;71
Do You Remember;Jay Sean;dance pop;2009;126;67;85;-5;10;82;211;2;7;71
Don't Wanna Know (feat. Kendrick Lamar);Maroon 5;pop;2018;100;61;78;-6;10;42;214;34;7;71
DONTTRUSTME;3OH!3;electropowerpop;2008;130;71;79;-4;19;51;193;2;25;71
DUELE EL CORAZON (feat. Wisin);Enrique Iglesias;dance pop;2016;91;91;72;-3;14;87;200;9;10;71
Fancy;Iggy Azalea;australian hip hop;2014;95;72;91;-4;5;38;200;9;7;71
Freaky Friday (feat. Chris Brown);Lil Dicky;comedy rap;2018;133;60;76;-5;11;76;217;15;22;71
Get Up (Rattle) [feat. Far East Movement] - Vocal Edit;Bingo Players;big room;2012;128;99;80;-3;30;72;167;2;6;71
Get Ur Freak On;Missy Elliott;dance pop;2001;178;75;80;-9;10;74;211;53;25;71
Gives You Hell;The All-American Rejects;alternative metal;2008;100;69;72;-6;6;55;213;2;4;71
H.O.L.Y.;Florida Georgia Line;contemporary country;2016;78;67;52;-4;7;56;194;40;3;71
Hands To Myself;Selena Gomez;pop;2015;111;50;81;-7;34;47;201;1;12;71
Haven't Met You Yet;Michael Bublé;adult standards;2009;123;73;62;-5;11;80;245;15;3;71
He Wasn't Man Enough;Toni Braxton;contemporary r&b;2000;88;95;74;-2;33;77;262;1;4;71
Here;Alessia Cara;canadian contemporary r&b;2015;120;82;38;-4;8;33;199;8;10;71
Higher Power;Coldplay;permanent wave;2021;178;83;51;-6;23;49;207;1;4;71
I Believe in a Thing Called Love;The Darkness;glam metal;2003;128;85;44;-5;28;62;218;5;8;71
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit;Avicii;edm;2012;128;79;51;-4;32;64;208;33;4;71
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster;Mario Winans;celtic;2016;97;52;83;-5;12;40;257;35;5;71
I Love It (feat. Charli XCX);Icona Pop;candy pop;2013;126;91;71;-3;15;82;157;1;3;71
I Write Sins Not Tragedies;Panic! At The Disco;pop;2005;170;82;57;-4;12;67;186;7;14;71
I'm On One;DJ Khaled;hip hop;2011;149;81;41;-3;63;44;296;5;32;71
It Girl;Jason Derulo;dance pop;2011;92;72;67;-5;10;35;192;2;6;71
Jesus Walks;Kanye West;chicago rap;2004;87;83;64;-5;32;72;194;61;32;71
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")";P!nk;dance pop;2016;163;70;63;-6;11;52;215;1;15;71
Just Lose It;Eminem;detroit hip hop;2004;121;63;94;-4;28;96;249;6;5;71
Keep Your Head Up;Andy Grammer;neo mellow;2011;90;78;67;-5;14;82;190;5;4;71
Kenangan Manis;Pamungkas;indonesian pop;2018;140;68;60;-7;9;72;208;5;3;71
King's Dead (with Kendrick Lamar & Future & James Blake);Jay Rock;conscious hip hop;2018;137;71;65;-5;13;38;230;0;30;71
Lifestyles of the Rich & Famous;Good Charlotte;alternative metal;2002;106;93;62;-4;7;61;190;0;4;71
Live Like You Were Dying;Tim McGraw;contemporary country;2004;160;55;42;-8;8;42;300;49;3;71
Lose Yourself to Dance (feat. Pharrell Williams);Daft Punk;electro;2013;100;66;83;-8;8;67;354;8;6;71
Mercy;Duffy;british soul;2008;130;86;79;-4;13;96;220;27;3;71
More - RedOne Jimmy Joker Remix;Usher;atl hip hop;2010;125;89;55;-3;35;79;220;0;5;71
Motivation;Normani;pop;2019;171;89;60;-4;30;88;194;2;10;71
My Humps;Black Eyed Peas;dance pop;2005;124;68;80;-6;11;59;327;11;22;71
My Love;Westlife;boy band;2000;144;59;49;-6;26;33;232;10;3;71
My Type;Saweetie;cali rap;2019;105;81;90;-6;7;59;126;0;26;71
Over My Head (Cable Car);The Fray;neo mellow;2005;116;73;59;-4;7;71;236;2;4;71
Panda;Desiigner;pop rap;2016;145;77;58;-5;37;24;247;3;45;71
Pjanoo - Radio Edit;Eric Prydz;edm;2008;126;87;61;-5;11;84;157;0;3;71
Pocketful of Sunshine;Natasha Bedingfield;dance pop;2007;110;88;72;-4;8;66;203;19;5;71
Post to Be (feat. Chris Brown & Jhene Aiko);Omarion;dance pop;2014;97;68;73;-6;21;70;227;7;4;71
Ready or Not;Bridgit Mendler;pop;2012;93;87;72;-4;11;75;201;0;5;71
Ridin';Chamillionaire;dirty south rap;2005;143;80;79;-5;30;84;303;19;10;71
Right Above It;Lil Wayne;hip hop;2010;76;84;38;-4;58;46;272;4;36;71
Rock DJ;Robbie Williams;dance rock;2000;103;77;71;-4;47;86;259;3;3;71
Rock Wit U (Awww Baby);Ashanti;dance pop;2003;95;80;71;-3;16;85;209;41;6;71
Savin' Me;Nickelback;alternative metal;2005;164;82;44;-4;41;52;219;0;3;71
Second Chance;Shinedown;alternative metal;2008;100;80;46;-5;11;18;222;0;3;71
September Song;JP Cooper;uk pop;2017;96;62;61;-7;9;37;220;5;4;71
Sexy And I Know It;LMFAO;dance pop;2011;130;86;71;-4;19;80;199;10;32;71
Sexy Love;Ne-Yo;dance pop;2006;94;52;69;-6;6;49;221;30;4;71
Show Me (feat. Chris Brown);Kid Ink;pop rap;2014;98;51;71;-7;14;66;218;4;5;71
Slippery (feat. Gucci Mane);Migos;atl hip hop;2017;142;68;92;-6;10;75;304;31;26;71
Some Nights;fun.;baroque pop;2012;108;74;67;-7;9;39;277;2;5;71
Superstar;Jamelia;europop;2003;110;65;80;-7;4;82;215;5;4;71
Sweat - Remix;Snoop Dogg;g funk;2011;130;73;81;-6;8;73;196;6;3;71
The Edge Of Glory;Lady Gaga;art pop;2011;128;77;58;-6;11;36;321;0;4;71
The Greatest (feat. Kendrick Lamar);Sia;australian dance;2016;192;73;67;-6;6;73;210;1;27;71
The Sweet Escape;Gwen Stefani;dance pop;2006;120;77;76;-4;18;73;246;19;3;71
The Way You Move (feat. Sleepy Brown);Outkast;atl hip hop;2003;126;60;87;-5;6;64;234;13;5;71
This Is What It Feels Like;Armin van Buuren;dutch trance;2013;130;83;55;-5;6;14;204;4;3;71
Touch My Body;Mariah Carey;dance pop;2008;79;67;71;-8;23;84;205;10;5;71
True Love (feat. Lily Allen);P!nk;dance pop;2012;192;82;46;-5;11;58;231;0;31;71
Turn Me On;Kevin Lyttle;soca;2004;106;68;68;-7;4;88;192;4;4;71
What Hurts The Most;Rascal Flatts;contemporary country;2006;136;67;54;-5;27;33;214;1;3;71
When I'm Gone;Eminem;detroit hip hop;2005;75;75;62;-5;27;75;281;6;35;71
When I'm Gone;3 Doors Down;alternative metal;2002;148;77;53;-6;10;37;260;0;3;71
Wherever I Go;OneRepublic;piano rock;2016;100;69;55;-6;27;35;170;9;4;71
Who's That Chick? (feat. Rihanna);David Guetta;big room;2010;128;60;68;-5;5;93;201;0;12;71
Wide Awake;Katy Perry;pop;2012;160;68;51;-5;39;57;221;7;4;71
Work Bitch;Britney Spears;dance pop;2013;128;82;63;-7;7;85;248;16;16;71
Work It;Missy Elliott;dance pop;2002;102;68;88;-6;7;58;263;8;28;71
Yeah 3x;Chris Brown;r&b;2011;130;88;71;-3;9;70;242;0;4;71
You Da One;Rihanna;barbadian pop;2011;127;72;70;-5;13;86;200;50;4;71
You Know You Like It;DJ Snake;edm;2014;196;73;41;-5;31;25;247;1;19;71
You Make Me Feel... (feat. Sabi);Cobra Starship;neon pop punk;2011;132;86;67;-3;4;75;216;2;5;71
Your Love Is My Drug;Kesha;dance pop;2010;120;61;83;-4;9;76;187;1;10;71
2 Phones;Kevin Gates;baton rouge rap;2016;122;68;90;-5;19;55;240;16;36;70
All Eyes on You (feat. Chris Brown & Nicki Minaj);Meek Mill;hip hop;2015;78;66;59;-5;12;25;224;2;20;70
Arcade (feat. FLETCHER);Duncan Laurence;dutch pop;2020;72;40;45;-9;13;27;187;82;4;70
Ayo Technology;50 Cent;east coast hip hop;2007;140;78;63;-5;3;42;248;8;13;70
Baby Boy (feat. Sean Paul);Beyoncé;pop;2003;91;49;66;-9;22;79;245;8;22;70
Barking;Ramz;afroswing;2017;103;56;53;-8;5;29;205;18;31;70
Be Careful;Cardi B;pop;2018;152;57;82;-8;10;54;211;3;41;70
Big Green Tractor;Jason Aldean;contemporary country;2009;137;59;62;-5;30;58;204;65;3;70
Birthday Sex;Jeremih;chicago rap;2009;60;52;68;-6;15;45;227;30;4;70
Blow;Kesha;dance pop;2010;120;73;75;-4;7;81;220;0;4;70
Carry Out (Featuring Justin Timberlake);Timbaland;dance pop;2009;116;57;53;-7;26;27;232;11;11;70
Chocolate;The 1975;modern alternative rock;2013;100;94;61;-4;37;61;225;0;6;70
Close;Nick Jonas;dance pop;2016;124;62;65;-5;14;40;234;25;8;70
Coming Home;Diddy - Dirty Money;pop rap;2010;168;84;39;-2;30;23;239;16;19;70
Diamonds;Rihanna;barbadian pop;2012;92;71;56;-5;11;39;225;0;5;70
Dick (feat. Doja Cat);StarBoi3;slowed and reverb;2021;126;61;65;-7;6;47;175;13;42;70
Dirrty (feat. Redman);Christina Aguilera;dance pop;2002;100;89;64;-3;34;44;299;11;32;70
E.T.;Katy Perry;pop;2012;152;87;62;-5;37;76;230;2;18;70
Fast Car;Jonas Blue;pop;2015;114;57;64;-7;30;53;212;48;5;70
Hero;Enrique Iglesias;dance pop;2001;77;64;35;-6;11;16;264;14;5;70
Hit 'Em Up Style (Oops!);Blu Cantrell;hip pop;2001;90;77;67;-5;40;67;251;20;6;70
I Just Couldn't Save You Tonight - Story of Kale - Original Motion Picture Soundtrack;Ardhito Pramono;indonesian jazz;2020;85;32;37;-10;11;15;220;85;4;70
I Miss You (feat. Julia Michaels);Clean Bandit;pop;2018;105;62;69;-7;10;37;206;30;4;70
I Need A Dollar;Aloe Blacc;pop soul;2010;95;48;84;-7;9;96;243;20;3;70
If We Ever Meet Again (Featuring Katy Perry);Timbaland;dance pop;2009;126;61;65;-7;6;39;293;0;4;70
In the Shadows;The Rasmus;finnish alternative rock;2003;106;80;60;-4;48;75;258;0;3;70
It's Only Me - Studio Version;Kaleb J;indonesian pop;2020;120;30;60;-13;12;32;203;31;4;70
It's You;Sezairi;singaporean pop;2018;138;46;63;-8;11;17;251;55;3;70
Just Like a Pill;P!nk;dance pop;2001;102;77;69;-5;9;25;237;0;3;70
Ladbroke Grove;AJ Tracey;grime;2019;134;84;90;-9;10;73;191;9;21;70
Landslide;The Chicks;contemporary country;2002;146;44;57;-7;19;44;231;53;3;70
Last Request;Paolo Nutini;british soul;2007;81;70;61;-7;14;40;220;24;5;70
Leave Me Alone;Flipp Dinero;melodic rap;2019;150;74;79;-3;18;74;196;11;9;70
Let Me Love You (Until You Learn To Love Yourself);Ne-Yo;dance pop;2012;125;68;66;-7;37;25;252;25;4;70
Like Toy Soldiers;Eminem;detroit hip hop;2004;79;77;52;-3;10;40;297;2;36;70
Little Lion Man;Mumford & Sons;modern folk rock;2009;139;49;52;-8;9;46;245;3;3;70
Lost Without You;Freya Ridings;uk pop;2019;67;14;39;-9;7;10;226;93;5;70
Lovers And Friends;Lil Jon & The East Side Boyz;atl hip hop;2004;140;50;68;-6;43;53;261;5;22;70
Man Down;Rihanna;barbadian pop;2010;156;90;47;-4;5;56;267;4;18;70
Maps;Yeah Yeah Yeahs;alternative dance;2003;120;94;50;-5;55;12;220;0;7;70
Mine;Taylor Swift;pop;2010;121;78;62;-3;18;67;231;0;3;70
Move Ya Body;Nina Sky;hip pop;2004;121;71;87;-6;6;88;232;2;4;70
My Life Would Suck Without You;Kelly Clarkson;dance pop;2009;145;88;53;-4;14;42;211;0;5;70
Nasty Girl (feat. Diddy & Nelly & Jagged Edge & Avery Storm) - 2005 Remaster;The Notorious B.I.G.;east coast hip hop;2005;106;63;83;-7;28;65;286;9;14;70
Oblivion;Grimes;art pop;2012;156;53;70;-9;9;49;251;12;3;70
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit;Asaf Avidan;israeli pop;2012;119;67;83;-6;17;53;215;22;6;70
Out Of Reach;GABRIELLE;british soul;2001;183;48;51;-7;11;50;197;50;5;70
Picture (feat. Sheryl Crow);Kid Rock;nu metal;2001;98;50;69;-7;11;38;299;17;2;70
Please Don't Go;Joel Adams;australian pop;2015;84;77;51;-5;29;24;211;1;6;70
Rich Girl;Gwen Stefani;dance pop;2004;98;75;86;-3;21;72;236;3;4;70
Right Thurr;Chingy;crunk;2003;92;75;87;-4;6;89;251;15;25;70
Rock This Party - Everybody Dance Now;Bob Sinclar;disco house;2006;128;82;89;-4;5;90;245;7;12;70
Rumors (feat. Cardi B);Lizzo;escape room;2021;119;73;83;-6;42;61;173;13;9;70
See You Again;Miley Cyrus;pop;2007;139;91;69;-5;11;80;190;2;18;70
Shake It Out;Florence + The Machine;baroque pop;2011;107;80;52;-4;11;23;278;1;4;70
Single Ladies (Put a Ring on It);Beyoncé;pop;2008;193;58;43;-5;19;27;193;4;30;70
Solo Dance;Martin Jensen;danish electronic;2016;115;85;75;-2;20;40;175;5;5;70
Stay;Rihanna;barbadian pop;2012;112;31;62;-10;12;13;241;95;3;70
Steady, As She Goes;The Raconteurs;alternative rock;2006;124;58;53;-5;11;54;215;1;12;70
Strip That Down (feat. Quavo);Liam Payne;pop;2019;106;50;87;-5;8;55;202;20;5;70
Sunset Lover;Petit Biscuit;new french touch;2015;91;47;78;-9;11;24;238;73;5;70
Take It Off;Kesha;dance pop;2010;125;68;73;-5;9;74;215;0;3;70
Toosie Slide;Drake;canadian hip hop;2020;82;49;83;-9;11;85;247;29;21;70
You Don't Own Me (feat. G-Eazy);SAYGRACE;r&b;2016;186;64;33;-6;6;26;201;16;9;70
You Rock My World;Michael Jackson;r&b;2001;95;67;85;-3;26;96;338;4;19;70
Youngblood;5 Seconds of Summer;boy band;2018;120;85;60;-5;12;15;203;2;46;70
Yummy;Justin Bieber;canadian pop;2020;146;51;68;-7;12;50;209;35;10;70
Absolutely (Story of a Girl) - Radio Mix;Nine Days;pop rock;2000;96;94;48;-5;9;66;189;0;7;69
Ain't No Rest For The Wicked - Original Version;Cage The Elephant;modern alternative rock;2008;156;91;64;-6;60;92;175;6;11;69
All Time Low;Jon Bellion;indie pop rap;2016;90;57;62;-4;9;51;218;6;8;69
As Long As You Love Me;Justin Bieber;canadian pop;2012;140;87;57;-3;36;61;229;8;10;69
Battle Scars (with Guy Sebastian);Lupe Fiasco;chicago rap;2012;168;81;52;-5;11;49;250;19;29;69
Be Without You - Kendu Mix;Mary J. Blige;dance pop;2005;147;70;73;-6;26;67;246;7;10;69
Because I Got High;Afroman;comedy rap;2001;166;34;80;-9;8;85;198;17;49;69
Black Widow;Iggy Azalea;australian hip hop;2014;164;72;74;-4;11;52;209;19;12;69
Blow Me (One Last Kiss);P!nk;dance pop;2012;114;92;60;-3;28;73;256;0;4;69
Boo'd Up;Ella Mai;r&b;2017;82;78;56;-5;8;24;256;9;5;69
Bye Bye Bye;*NSYNC;boy band;2000;173;93;61;-5;8;88;201;4;5;69
Cheap Thrills (feat. Sean Paul);Sia;australian dance;2016;90;80;59;-5;8;73;225;6;22;69
Closer;Ne-Yo;dance pop;2008;126;75;71;-6;15;58;234;2;7;69
Cry for You;September;swedish electropop;2007;130;88;77;-4;6;96;210;0;3;69
Dead And Gone;T.I.;atl hip hop;2008;135;75;71;-5;60;47;300;4;26;69
Differences;Ginuwine;contemporary r&b;2001;63;59;56;-5;31;42;266;32;6;69
Dragostea din tei;O-Zone;eurodance;2004;130;97;80;-4;6;68;215;18;4;69
Drift Away;Uncle Kracker;country;2002;152;66;58;-5;10;86;256;18;4;69
Fallin';Alicia Keys;neo soul;2001;96;61;65;-8;23;48;210;26;4;69
Fighter;Christina Aguilera;dance pop;2002;189;92;44;-1;55;45;246;24;20;69
For the First Time;The Script;celtic rock;2010;174;63;39;-5;10;38;252;3;3;69
Frontin' (feat. Jay-Z) - Club Mix;Pharrell Williams;dance pop;2003;102;40;89;-6;8;76;237;45;13;69
Gecko (Overdrive) - Radio Edit;Oliver Heldens;edm;2014;125;89;61;-5;34;76;165;1;6;69
Ghetto Gospel;2Pac;g funk;2004;81;61;79;-5;8;66;238;10;5;69
Gimme That;Chris Brown;r&b;2005;87;57;68;-7;12;44;187;0;5;69
Goodies (feat. Petey Pablo);Ciara;dance pop;2004;102;65;83;-6;30;87;223;3;5;69
High Hopes;Kodaline;irish pop;2013;77;49;49;-6;19;22;230;58;3;69
Homemade Dynamite (Feat. Khalid & Post Malone & SZA) - REMIX;Lorde;art pop;2017;107;55;78;-5;13;18;214;23;8;69
I Cry;Flo Rida;dance pop;2012;126;82;69;-5;32;76;224;1;4;69
I Don't Like It. I Love It (feat. Robin Thicke & Verdine White);Flo Rida;dance pop;2015;118;77;85;-5;8;78;224;2;14;69
I Got U;Duke Dumont;edm;2014;121;76;64;-8;9;46;286;0;4;69
I'm A Believer;Smash Mouth;pop rock;2001;82;98;55;-4;44;87;185;2;6;69
I'm Upset;Drake;canadian hip hop;2018;150;59;90;-8;8;49;214;28;34;69
Impossible;Shontelle;barbadian pop;2010;90;62;60;-4;13;53;227;39;3;69
Into You (feat. Tamia);Fabolous;gangster rap;2003;182;54;55;-8;12;58;296;23;5;69
It's A Vibe;2 Chainz;atl hip hop;2017;73;50;82;-7;11;53;210;3;15;69
Leave (Get Out);JoJo;dance pop;2004;87;56;70;-7;8;46;243;16;20;69
Light On;Maggie Rogers;indie pop;2019;102;57;66;-6;13;40;234;20;5;69
Lighters;Bad Meets Evil;detroit hip hop;2011;90;70;68;-8;12;14;304;35;25;69
Locked Up;Akon;dance pop;2005;90;57;83;-4;11;37;235;3;8;69
Lose Control (feat. Ciara & Fat Man Scoop);Missy Elliott;dance pop;2005;125;81;90;-7;5;81;227;3;12;69
Love Don't Cost a Thing;Jennifer Lopez;dance pop;2001;98;84;79;-5;47;69;221;0;7;69
Love Is A Losing Game;Amy Winehouse;british soul;2006;165;29;48;-17;15;56;155;34;3;69
Lucky;Britney Spears;dance pop;2000;95;79;77;-6;7;97;206;26;3;69
LUV;Tory Lanez;canadian hip hop;2016;190;53;54;-8;12;25;229;1;25;69
m.A.A.d city;Kendrick Lamar;conscious hip hop;2012;91;73;49;-7;44;22;350;5;27;69
Mad Love;Mabel;pop;2019;198;80;62;-3;12;61;170;66;20;69
Milkshake;Kelis;dance pop;2003;113;77;88;-6;21;76;183;1;4;69
Move Your Feet;Junior Senior;danish pop;2002;119;90;75;-3;20;85;182;5;8;69
My Chick Bad;Ludacris;atl hip hop;2010;85;72;62;-7;48;76;217;17;38;69
Never Say Never;The Fray;neo mellow;2009;160;49;23;-6;18;26;257;57;3;69
New Shoes;Paolo Nutini;british soul;2007;150;74;75;-9;9;85;204;47;9;69
No Money;Galantis;dance pop;2016;126;92;67;-4;24;80;189;3;4;69
Post Malone (feat. RANI);Sam Feldt;edm;2019;107;64;59;-4;11;65;174;8;12;69
Prayer in C - Robin Schulz Radio Edit;Lilly Wood and The Prick;french indie pop;2014;123;89;76;-5;62;78;189;2;3;69
Purple Pills;D12;detroit hip hop;2001;125;63;78;-6;29;75;305;2;16;69
Put On;Jeezy;atl hip hop;2008;138;77;65;-6;9;27;321;0;4;69
Rock The Boat;Aaliyah;contemporary r&b;2001;93;73;64;-5;20;42;275;7;3;69
Rolex;Ayo & Teo;trap;2017;145;89;80;-3;27;79;239;8;4;69
Rumour Has It;Adele;british soul;2011;120;75;61;-5;17;57;223;62;4;69
Shake It;Metro Station;electropowerpop;2007;150;96;62;-4;49;79;180;0;8;69
Shape of You;Ed Sheeran;pop;2017;96;65;83;-3;9;93;234;58;8;69
Sing;Travis;britpop;2001;163;91;33;-5;7;26;229;0;5;69
Snap Yo Fingers;Lil Jon;atl hip hop;2006;82;76;84;-5;29;63;274;1;23;69
Stereo Love - Edit;Edward Maya;romanian house;2009;127;79;80;-4;10;55;184;4;3;69
Summer Love;Justin Timberlake;dance pop;2006;96;59;61;-7;33;48;253;8;9;69
Talking Body;Tove Lo;metropopolis;2014;120;76;74;-5;8;11;238;10;3;69
The London (feat. J. Cole & Travis Scott);Young Thug;atl hip hop;2019;98;59;80;-7;13;18;200;2;15;69
There for You;Martin Garrix;dutch edm;2017;106;64;61;-8;12;13;222;12;6;69
Thinking About You (feat. Ayah Marar);Calvin Harris;dance pop;2012;128;87;73;-4;10;75;248;0;4;69
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016);David Guetta;big room;2016;110;92;37;-3;9;37;207;0;5;69
Try Again;Aaliyah;contemporary r&b;2001;93;66;79;-5;9;68;285;8;25;69
T-Shirt;Migos;atl hip hop;2017;139;69;87;-4;16;49;242;24;22;69
Unwell;Matchbox Twenty;neo mellow;2002;81;79;26;-5;71;43;229;3;4;69
Uptown Girl - Radio Edit;Westlife;boy band;2000;129;92;65;-5;41;86;186;1;3;69
#thatPOWER;will.i.am;dance pop;2013;128;61;80;-6;7;40;280;0;6;68
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version;Sean Paul;dance pop;2006;96;76;71;-3;4;72;244;7;23;68
2U (feat. Justin Bieber);David Guetta;big room;2017;145;65;55;-6;23;56;195;22;6;68
Adorn;Miguel;r&b;2012;179;58;63;-6;19;24;193;5;18;68
Alive;Empire of the Sun;australian dance;2013;120;88;52;-3;7;40;205;11;4;68
All I Ever Wanted - Radio Edit;Basshunter;eurodance;2008;145;98;65;-7;16;55;176;16;5;68
All The Right Moves;OneRepublic;piano rock;2009;146;95;53;-4;28;65;238;26;5;68
Anaconda;Nicki Minaj;hip pop;2014;130;61;96;-6;21;65;260;7;18;68
Beautiful;Snoop Dogg;g funk;2005;101;74;89;-5;9;96;299;30;13;68
Better in Time;Leona Lewis;british soul;2007;164;70;58;-4;13;55;234;51;5;68
Black Betty - Edit;Spiderbait;australian alternative rock;2004;124;87;56;-6;22;35;206;0;9;68
Blah Blah Blah (feat. 3OH!3);Kesha;dance pop;2010;120;84;75;-3;42;52;172;8;12;68
Blame It;Jamie Foxx;contemporary r&b;2008;176;61;67;-5;14;36;290;8;10;68
Bonfire Heart;James Blunt;neo mellow;2013;118;82;57;-6;12;45;238;18;5;68
Breathe;Faith Hill;contemporary country;1999;137;50;53;-9;25;28;251;17;3;68
Burn;Ellie Goulding;indietronica;2014;87;78;56;-5;11;33;231;31;4;68
Crush;David Archuleta;idol;2008;162;66;57;-5;7;49;214;1;3;68
Dance Wiv Me - Radio Edit;Dizzee Rascal;grime;2011;112;75;88;-4;15;79;204;5;5;68
Dancing in the Moonlight;Toploader;british alternative rock;2009;119;85;64;-3;34;87;233;5;4;68
Daughters;John Mayer;neo mellow;2003;125;41;67;-8;10;50;238;84;3;68
Don't Stop the Party (feat. TJR);Pitbull;dance pop;2012;127;96;72;-4;38;95;206;1;9;68
Easy Love;Sigala;dance pop;2018;124;94;68;-4;12;65;230;18;6;68
Everyday;Logic;conscious hip hop;2018;150;74;67;-4;8;42;205;4;4;68
Everytime;Britney Spears;dance pop;2003;110;28;40;-13;12;11;230;97;3;68
Fall for You;Secondhand Serenade;neon pop punk;2008;170;45;40;-7;10;36;184;18;4;68
Five More Hours;Deorro;dutch house;2015;128;88;70;-3;82;50;212;3;22;68
gone girl;iann dior;melodic rap;2019;95;71;68;-6;7;36;137;16;3;68
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign);Megan Thee Stallion;houston rap;2019;99;81;87;-5;21;57;199;0;16;68
Hotter Than Hell;Dua Lipa;dance pop;2017;110;87;53;-4;6;53;188;1;9;68
I Don't Mind (feat. Juicy J);Usher;atl hip hop;2014;113;46;87;-8;9;46;252;21;18;68
I Hope You Dance;Lee Ann Womack;contemporary country;2000;151;44;39;-10;9;28;295;6;3;68
I Wanna Go;Britney Spears;dance pop;2011;130;55;70;-7;33;79;210;0;4;68
I Wanna Know;Joe;contemporary r&b;2000;136;49;73;-6;43;60;297;26;4;68
If I Were a Boy;Beyoncé;pop;2008;90;52;63;-6;35;43;249;11;3;68
I'm N Luv (Wit a Stripper) (feat. Mike Jones);T-Pain;dance pop;2005;145;37;74;-10;17;47;239;1;8;68
I'm Real (feat. Ja Rule) - Murder Remix;Jennifer Lopez;dance pop;2001;83;59;71;-8;7;55;262;27;15;68
In My Head;Jason Derulo;dance pop;2010;110;75;76;-4;35;85;199;3;3;68
Independent Women Pt. 1;Destiny's Child;dance pop;2001;98;60;73;-4;17;93;221;36;21;68
Jealous - Remix;Nick Jonas;dance pop;2015;93;71;68;-4;44;45;222;1;8;68
Just You and I;Tom Walker;indie anthem-folk;2019;92;70;57;-5;11;54;175;46;30;68
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack";Christina Aguilera;dance pop;2001;110;80;76;-4;67;65;265;1;5;68
Lean Back;Terror Squad;bronx hip hop;2004;95;92;78;-3;7;70;247;11;42;68
Let Me Think About It;Ida Corr;scandipop;2013;129;75;76;-3;15;72;152;0;5;68
Let's Go (feat. Ne-Yo);Calvin Harris;dance pop;2012;128;88;71;-3;29;88;233;1;6;68
Let's Love;David Guetta;big room;2020;93;87;66;-4;58;35;201;1;3;68
Like You (feat. Ciara);Bow Wow;dance pop;2005;82;60;71;-8;6;50;206;5;9;68
MAMACITA;Black Eyed Peas;dance pop;2020;105;64;89;-7;8;43;249;19;5;68
Melawan Restu;Mahalini;indonesian pop;2021;120;34;63;-8;8;30;220;81;3;68
